2026-05-25 02:00 | 🌏 Asia | Panda | 0.000054430298 | 54,413 | 392 | 28 | 127.6701248 | 0/0
2026-05-25 02:00 | 🌏 Asia | CupMarkets | 0 | 0 | 329 | 0 | 0 | 0/0
2026-05-25 10:00 | 🌍 Europe | MARKET | Vol=0 | Tokens=0 | Traders=0 | Fees=323.411016954SOL
2026-05-25 10:00 | 🌍 Europe | WURLDCAP | 0.0000071242358 | 7,066 | 471 | 13 | 12.90522801 | 0/0
2026-05-25 10:00 | 🌍 Europe | TOLYBOT | 0.00071946684 | 719,066 | 5095 | 87 | 15883.083165141 | 2/0
2026-05-25 10:00 | 🌍 Europe | Opossum | 0.000025245974 | 25,244 | 251 | 18 | 507.86790699 | 0/0
2026-05-25 10:00 | 🌍 Europe | Panda | 0.000040387692 | 40,375 | 398 | 28 | 861.93560732 | 0/0
2026-05-25 10:00 | 🌍 Europe | CupMarkets | 0 | 0 | 367 | 0 | 0 | 0/0
2026-05-25 16:00 | 🌎 US | MARKET | Vol=19075114.753321975 | Tokens=8156 | Traders=32169 | Fees=1013.155163254SOL
2026-05-25 16:00 | 🌎 US | REGIME | saturated | Vol/token=2339
2026-05-25 16:00 | 🌎 US | WURLDCAP | 0.0000068193543 | 6,764 | 464 | 13 | 0.855356 | 0/0
2026-05-25 16:00 | 🌎 US | TOLYBOT | 0.00090410142 | 903,597 | 5084 | 87 | 29782.33505075 | 2/1
2026-05-25 16:00 | 🌎 US | Opossum | 0.000027166161 | 27,164 | 237 | 18 | 45.87451294 | 0/0
2026-05-25 16:00 | 🌎 US | Panda | 0.000038381429 | 38,369 | 390 | 28 | 1191.15704566 | 0/0
2026-05-25 16:00 | 🌎 US | CupMarkets | 0 | 0 | 374 | 0 | 0 | 0/0
2026-05-26 02:00 | 🌏 Asia | MARKET | Vol=33878383.232386425 | Tokens=19618 | Traders=51532 | Fees=2707.05755575SOL
2026-05-26 02:00 | 🌏 Asia | REGIME | saturated | Vol/token=1727
2026-05-26 02:00 | 🌏 Asia | WURLDCAP | 0.0000064447178 | 6,392 | 456 | 13 | 226.096111797 | 0/0
2026-05-26 02:00 | 🌏 Asia | TOLYBOT | 0.00069642971 | 696,041 | 5461 | 87 | 20576.076778943 | 0/1
2026-05-26 02:00 | 🌏 Asia | Opossum | 0.000017654627 | 17,653 | 234 | 19 | 320.57220352 | 0/0
2026-05-26 02:00 | 🌏 Asia | Panda | 0.000040348728 | 40,336 | 373 | 28 | 0 | 0/0
2026-05-26 02:00 | 🌏 Asia | CupMarkets | 0.00011102893 | 111,029 | 508 | 1 | 3070.10540922 | 0/0
2026-05-26 10:00 | 🌍 Europe | MARKET | Vol=0 | Tokens=1755 | Traders=0 | Fees=0SOL
2026-05-26 10:00 | 🌍 Europe | WURLDCAP | 0.0000060778403 | 6,028 | 445 | 13 | 20.93291873 | 0/0
2026-05-26 10:00 | 🌍 Europe | TOLYBOT | 0.00098339251 | 982,843 | 5625 | 87 | 18001.66345148 | 1/7
2026-05-26 10:00 | 🌍 Europe | Opossum | 0.000013995968 | 13,995 | 227 | 19 | 299.84949098 | 0/0
2026-05-26 10:00 | 🌍 Europe | Panda | 0.000041222413 | 41,210 | 370 | 28 | 0.78070102 | 0/0
2026-05-26 10:00 | 🌍 Europe | CupMarkets | 0.000097437901 | 97,438 | 476 | 1 | 331.61815465 | 0/0
2026-05-26 16:00 | 🌎 US | MARKET | Vol=15567022.65346098 | Tokens=6864 | Traders=31864 | Fees=891.938070784SOL
2026-05-26 16:00 | 🌎 US | REGIME | saturated | Vol/token=2268
2026-05-26 16:00 | 🌎 US | WURLDCAP | 0.0000057887268 | 5,742 | 444 | 13 | 90.4908808 | 0/0
2026-05-26 16:00 | 🌎 US | TOLYBOT | 0.0008363995 | 835,933 | 5635 | 87 | 13037.54946563 | 2/3
2026-05-26 16:00 | 🌎 US | Opossum | 0.000013526308 | 13,525 | 227 | 19 | 344.68269665 | 0/0
2026-05-26 16:00 | 🌎 US | Panda | 0.000039877122 | 39,865 | 368 | 28 | 251.3103273 | 0/0
2026-05-26 16:00 | 🌎 US | CupMarkets | 0.00011273722 | 112,737 | 484 | 1 | 428.85673142 | 0/0
2026-05-27 02:00 | 🌏 Asia | MARKET | Vol=0 | Tokens=0 | Traders=0 | Fees=0SOL
2026-05-27 02:00 | 🌏 Asia | WURLDCAP | 0.0000050604381 | 5,019 | 435 | 13 | 27.13368873 | 0/0
2026-05-27 02:00 | 🌏 Asia | TOLYBOT | 0.00082031478 | 819,856 | 5614 | 89 | 29551.52342295 | 10/9
